各府省が共用する情報システムや中小規模の情報システムを中心に集約化する基盤である政府共通プラットフォーム、以下、PF、という。、や、政府機関等にメール交換等のネットワーク機能を提供する政府共通ネットワーク、以下、NW、という。、、国民等が電子的に申請等を行う際の電子文書の真正性の担保に必要不可欠な認証局等の政府情報システム基盤を一元的に構築・運用し、政府全体としてのシステム経費の効率化や共通・横断的に対策を実施することで有効なセキュリティの向上を図る。・PFの運用、対象システムのPF移行の支援、共通・横断的に対策を実施することで有効なセキュリティ対策の実施を含む、。。・NWの運用。。・政府認証基盤、以下、GPKI、という。、の運用。。。なお、令和2年度より内閣官房情報通信技術、IT、総合戦略室の下で一括要求・一括計上、内閣官房。新02-0008 政府共通プラットフォームの整備及び運用、情報通信技術調達等適正・効率化推進費、、新02-0011 政府認証基盤の整備及び運用、情報通信技術調達等適正・効率化推進費、、新02-0015 政府共通ネットワーク等の整備及び運用、情報通信技術調達等適正・効率化推進費、、。	0
SH-60Kは、潜水艦の静粛化等の軍事科学技術の進歩や任務の多様化等に対応するため、現有のSH-60Jの後継機として開発された、警戒監視能力及び自機防御能力並びに輸送能力等が向上した哨戒ヘリコプターであり、防衛大綱・中期防衛力整備計画に基づき所要の機数を整備する。SH-60Jの代替更新として、平成14年度から整備を開始しており、防衛大綱・中期防衛力整備計画に基づき所要の機数を整備している。	0
地方の経済と雇用を支えつつ主要な輸出産業として我が国のGDP向上や貿易収支の改善に寄与している重要な産業である造船業及び舶用工業の維持発展・競争力強化を図り、もって我が国の雇用創出と経済の発展に資することを目的とする。地方の経済と雇用を支えつつ主要な輸出産業として我が国のGDP向上や貿易収支の改善に寄与している重要な産業である造船業及び舶用工業の維持・競争力強化を図り、我が国の雇用創出と経済の発展に資することを目的として、国際市場環境の整備、国内造船業の経営革新に向けた指導等を行うための調査等を実施する。	0
女性労働者の特性に見合った健康管理対策を実施し、もって労働災害の防止を図る。男女雇用機会均等法に基づく事業主の義務である妊娠中及び出産後の健康管理に関する措置が、事業所内において適切に実施されるようにするため、事業主への啓発等を行う。	0
厚生労働科学研究の振興を促し、もって、国民の保健医療、福祉、生活衛生、労働安全衛生等に関し、行政施策の科学的な推進を確保し、技術水準の向上を図ることを目的とする。。各研究事業毎に評価委員会を設置し、研究開発課題の採択に関する事前評価、研究の進捗を評価する中間評価、研究が適切に行われたか等を評価する事後評価を実施する等、厚生労働科学研究費補助金等の各研究事業が適切かつ効果的に実施されるための事業を実施している。	1
省資源・再資源化政策を進めるための基本的な検討を実施するための事務費。省資源・再資源化政策を進めるための基礎的な調査を実施する。	0
覚醒剤などの不正薬物等の社会悪物品等の効果的・効率的な税関取締機器の調査・研究・開発。税関で使用する取締機器の調査・研究においては、覚醒剤等の不正薬物等の社会悪物品及びテロ関連物資等に係る密輸入の悪質巧妙化や取締対象の広範囲化に対応するため、効果的・効率的な取締機器の開発を進めている。更に市場調査を行い、税関検査に活用できそうな機器の性能評価も実施している。	1
研究活動における不正行為を防止するために、研究機関における、研究活動における不正行為への対応等に関するガイドライン、、平成26年8月26日 文部科学大臣決定。以下、ガイドライン、という。、を踏まえた体制整備等を促進するとともに、科学技術の社会的信頼を得るために、広く国民を対象として、科学技術に触れ、体験・学習できる機会の拡充を図る。研究不正対応、文部科学省及び文部科学省が所管する独立行政法人が配分又は措置する研究資金で研究活動を行う研究機関に対して、ガイドラインを踏まえた体制整備等の状況に関する報告書の提出を求めるとともに、体制に不備がみられる機関に対しては、必要に応じて、調査や指導等を実施する。また、調査や指導等の実施等に関する助言を得るため、有識者会議を開催する。さらに、公正な研究活動の推進に関する施策等の検討に必要な課題について調査するため、委託事業を実施する。。。理解増進、科学技術に関して広く一般の国民の関心と理解を深め	1
介護サービスは高齢者やその家族の生活を支え、高齢者の健康を維持するうえで不可欠なものであり、新型コロナウイルスに感染した場合の重症化リスクが高い高齢者に対する接触を伴うサービスであるという特徴を踏まえ、最大限の感染症対策を継続的に行いつつ、必要なサービスを提供する体制を構築する必要があるため、新型コロナウイルスの感染拡大防止等について、都道府県の取組を包括的に支援することを目的とする。介護サービス事業所・施設等に対し、感染症対策に必要な物資を確保するとともに、感染症対策を徹底しつつ介護サービスを継続的に提供するための支援を導入する。また、新型コロナウイルスの感染防止対策を講じながら介護サービスの継続に努めていただいた職員に対して慰労金を支給する。さらに、サービス利用休止中の利用者に対する利用再開に向けた働きかけや感染症防止のための環境整備の取組について支援を導入する。。実施主体、都道府県。補助率、国10/10	0
番号制度は、効率的な情報の管理及び利用並びに迅速な情報の授受により、行政運営の効率化及び公正な給付と負担の確保を図ることが可能となるほか、国民の利便性の向上を図ることを可能とするもの。。法人番号の付番機関として、法人等に対して法人番号を指定し通知するとともに、当該法人等の名称、本店の所在地及び法人番号を検索・閲覧等できるサービスをホームページで提供しており、民間においても利活用が可能となった。。。また、番号の利活用機関として、番号付き納税申告書、法定調書等の税務関係書類の受付、入力、読込等を行うほか、番号制度の導入を契機とした納税者利便の向上や行政事務の効率化のための施策を行う。	0
災害時において医療機関が都道府県やDMAT等と情報交換を行って患者救助にあたるためには通信の確保が必要である。しかし、令和元年房総半島台風においては、停電による通信障害が発生し、現地に赴かないと被災しているかどうか、また、被災していた場合、どのような支援が必要か等の確認が取れない事例が相次いでおり、指定要件とされている災害拠点病院だけでなく、その他の医療機関についても非常用通信手段の整備について補助をする。救命救急センター、周産期母子医療センター、へき地医療拠点病院、へき地診療所、特定機能病院及び地域医療支援病院が災害時における通信確保を図るため、衛星携帯電話や衛星データ通信等、非常用通信手段を整備するための経費の一部を支援する。。、補助率1/3、	0
国際エネルギー計画、IEP、等を通じて以下の施策を実施し,世界のエネルギー安全保障を強化することが目的であり,かかる施策は我が国のエネルギー安全保障の強化に資する。。、石油の緊急備蓄水準の確定,需要抑制,緊急時対応システムの設立及び発動。、石油輸入依存度の低減のための省エネルギー,代替エネルギーの開発,エネルギー研究開発の促進。、天然ガス安全保障の強化,国際的な緊急時対応能力の強化。石油・ガス供給途絶等の緊急時への準備・対応,市場の分析,中長期の需給見通し,エネルギー源多様化に向けた分析・研究,電力セキュリティの強化に向けた活動計画の策定,エネルギー技術・開発協力,省エネルギーの研究・普及,メンバー国のエネルギー政策の相互審査,非メンバー国との協力等を行っている。	0
今後も原子力利用を継続していく中で、原子力施設の安全を確保する現場技術者等の技能向上、人材育成は重要な課題である。また、今後増えていく原子力発電所の廃炉を安全かつ円滑に進めていく観点からも、より専門性の高い人材の育成・確保も重要な課題である。これらの課題に対応するため、既設の原子力施設の安全確保や円滑な廃炉等のための人材育成を行う。本事業では、、軽水炉安全技術・人材ロードマップ、平成27年6月総合資源エネルギー調査会電力・ガス事業分科会原子力小委員会自主的安全性向上・技術・人材ワーキンググループ策定、平成29年3月改訂、、や、原子力の自主的安全性向上の取組の改善に向けた提言、平成27年5月総合資源エネルギー調査会電力・ガス事業分科会原子力小委員会自主的安全性向上・技術・人材ワーキンググループ、、において重要とされた人材育成の観点等を踏まえ、民間企業や研究機関等に委託を行い、事業目的に沿った取組を推進する。	0
一般用医薬品等の安全かつ適切な使用に必要な施策を検討するための基礎資料とするため、どのような医薬品が、どのような方法で販売されているのか、その実態を把握する。。一般用医薬品等の販売実態を把握し、一般用医薬品等の安全かつ適切な使用に必要な施策を検討するための基礎資料とするため、薬局及び店舗販売業を対象に、一般用医薬品等の販売実績や販売経路、店舗による販売、特定販売、カタログ、インターネット等、、、販売時の対応状況、対応した専門家、説明・相談の有無、等、に関する調査を実施し、一般用医薬品等の販売実態を把握する。。。また、一般用医薬品等の安全かつ適切な使用に必要な施策を検討する。。。。	0
